Book,Chapter,Verse,Depth
Genesis,33,20,5
Genesis,34,1,7
Genesis,34,2,6
Genesis,34,3,6
Genesis,34,4,6
Genesis,34,5,5
Genesis,34,6,6
Genesis,34,7,8
Genesis,34,8,6
Genesis,34,9,5
Genesis,34,10,5
Genesis,34,11,5
Genesis,34,12,6
Genesis,34,13,6
Genesis,34,14,8
Genesis,34,15,4
Genesis,34,16,7
Genesis,34,17,5
Genesis,34,18,8
Genesis,34,19,7
Genesis,34,20,5
Genesis,34,21,11
Genesis,34,22,8
Genesis,34,23,5
Genesis,34,24,7
Genesis,34,25,14
Genesis,34,26,5
Genesis,34,27,6
Genesis,34,28,6
Genesis,34,29,7
Genesis,34,30,5
Genesis,34,31,5
Genesis,35,1,6
Genesis,35,2,5
Genesis,35,3,6
Genesis,35,4,6
Genesis,35,5,8
Genesis,35,6,4
Genesis,35,7,7
Genesis,35,8,8
Genesis,35,9,5
Genesis,35,10,7
Genesis,35,11,6
Genesis,35,12,6
Genesis,35,13,5
Genesis,35,14,6
Genesis,35,15,7
Genesis,35,16,6
Genesis,35,17,6
Genesis,35,18,8
Genesis,35,19,6
Genesis,35,20,6
Genesis,35,21,6
Genesis,35,22,7
Genesis,35,23,5
Genesis,35,24,4
Genesis,35,25,5
Genesis,35,26,6
Genesis,35,27,6
Genesis,35,28,6
Genesis,35,29,8
Genesis,36,1,4
Genesis,36,2,7
Genesis,36,3,5
Genesis,36,4,5
Genesis,36,5,7
Genesis,36,6,5
Genesis,36,7,6
Genesis,36,8,4
Genesis,36,9,4
Genesis,36,10,8
Genesis,36,11,5
Genesis,36,12,8
Genesis,36,13,5
Genesis,36,14,3
Genesis,36,15,6
Genesis,36,16,7
Genesis,36,17,6
Genesis,36,18,8
Genesis,36,19,4
Genesis,36,20,4
Genesis,36,21,4
Genesis,36,22,2
Genesis,36,23,7
Genesis,36,24,7
Genesis,36,25,5
Genesis,36,26,4
Genesis,36,27,5
Genesis,36,28,4
Genesis,36,29,5
Genesis,36,30,5
Genesis,36,31,8
Genesis,36,32,6
