Book,Chapter,Verse,Total Words,Unique Words
Genesis,21,19,15,13
Genesis,21,20,10,10
Genesis,21,21,9,9
Genesis,21,22,17,17
Genesis,21,23,21,20
Genesis,21,24,4,4
Genesis,21,25,12,12
Genesis,21,26,20,20
Genesis,21,27,9,9
Genesis,21,28,7,7
Genesis,21,29,12,12
Genesis,21,30,16,15
Genesis,21,31,11,11
Genesis,21,32,13,13
Genesis,21,33,10,10
Genesis,21,34,6,6
Genesis,22,1,13,13
Genesis,22,2,25,23
Genesis,22,3,25,24
Genesis,22,4,10,9
Genesis,22,5,17,17
Genesis,22,6,18,17
Genesis,22,7,17,17
Genesis,22,8,11,11
Genesis,22,9,25,22
Genesis,22,10,10,8
Genesis,22,11,11,10
Genesis,22,12,24,23
Genesis,22,13,20,19
Genesis,22,14,13,13
Genesis,22,15,8,8
Genesis,22,16,18,16
Genesis,22,17,19,19
Genesis,22,18,9,9
Genesis,22,19,14,13
Genesis,22,20,15,15
Genesis,22,21,10,9
Genesis,22,22,10,7
Genesis,22,23,11,11
Genesis,22,24,14,13
Genesis,23,1,12,12
Genesis,23,2,12,12
Genesis,23,3,10,10
Genesis,23,4,12,12
Genesis,23,5,7,7
Genesis,23,6,20,19
Genesis,23,7,7,7
Genesis,23,8,17,17
Genesis,23,9,17,17
Genesis,23,10,18,18
Genesis,23,11,18,18
Genesis,23,12,5,5
Genesis,23,13,21,21
Genesis,23,14,6,6
Genesis,23,15,14,14
Genesis,23,16,20,20
Genesis,23,17,20,20
Genesis,23,18,9,9
Genesis,23,19,18,18
Genesis,23,20,11,11
Genesis,24,1,9,9
Genesis,24,2,15,15
Genesis,24,3,17,17
Genesis,24,4,10,10
Genesis,24,5,21,20
Genesis,24,6,10,10
Genesis,24,7,29,29
Genesis,24,8,15,15
Genesis,24,9,13,13
Genesis,24,10,18,17
Genesis,24,11,12,12
Genesis,24,12,14,14
Genesis,24,13,12,12
Genesis,24,14,25,25
Genesis,24,15,20,20
Genesis,24,16,13,13
Genesis,24,17,9,9
Genesis,24,18,9,9
Genesis,24,19,10,10
Genesis,24,20,13,13
Genesis,24,21,10,10
Genesis,24,22,18,18
Genesis,24,23,13,13
Genesis,24,24,10,10
Genesis,24,25,11,9
Genesis,24,26,4,4
Genesis,24,27,20,20
Genesis,24,28,7,7
Genesis,24,29,11,10
Genesis,24,30,28,25
Genesis,24,31,12,12
Genesis,24,32,16,16
Genesis,24,33,12,12
Genesis,24,34,4,4
Genesis,24,35,16,16
Genesis,24,36,14,14
Genesis,24,37,13,13
Genesis,24,38,11,11
Genesis,24,39,8,8
Genesis,24,40,17,17
Genesis,24,41,14,14
Genesis,24,42,18,18
Genesis,24,43,17,17
Genesis,24,44,15,15
Genesis,24,45,19,19
Genesis,24,46,13,13
Genesis,24,47,22,20
Genesis,24,48,19,18
Genesis,24,49,20,18
Genesis,24,50,14,14
Genesis,24,51,12,12
Genesis,24,52,10,10
Genesis,24,53,13,13
Genesis,24,54,12,12
Genesis,24,55,11,11
Genesis,24,56,11,11
Genesis,24,57,6,6
Genesis,24,58,10,10
Genesis,24,59,11,9
Genesis,24,60,15,15
Genesis,24,61,14,14
Genesis,24,62,9,9
Genesis,24,63,12,12
Genesis,24,64,10,9
Genesis,24,65,16,16
Genesis,24,66,8,8
Genesis,24,67,16,16
Genesis,25,1,6,6
Genesis,25,2,14,10
Genesis,25,3,12,12
Genesis,25,4,11,11
Genesis,25,5,7,7
Genesis,25,6,17,17
Genesis,25,7,13,13
Genesis,25,8,10,10
Genesis,25,9,18,17
Genesis,25,10,12,11
Genesis,25,11,14,14
Genesis,25,12,12,12
Genesis,25,13,12,12
Genesis,25,14,3,3
Genesis,25,15,5,5
Genesis,25,16,12,12
Genesis,25,17,15,15
Genesis,25,18,15,14
Genesis,25,19,9,9
Genesis,25,20,18,18
Genesis,25,21,14,14
Genesis,25,22,13,13
Genesis,25,23,16,16
Genesis,25,24,6,6
Genesis,25,25,9,9
Genesis,25,26,17,17
Genesis,25,27,14,13
Genesis,25,28,11,11
Genesis,25,29,9,9
Genesis,25,30,18,18
Genesis,25,31,7,7
Genesis,25,32,10,10
Genesis,25,33,11,11
Genesis,25,34,14,14
Genesis,26,1,17,17
Genesis,26,2,12,12
Genesis,26,3,21,20
Genesis,26,4,16,16
Genesis,26,5,10,10
Genesis,26,6,3,3
Genesis,26,7,21,19
Genesis,26,8,19,19
Genesis,26,9,20,20
Genesis,26,10,15,15
Genesis,26,11,12,12
Genesis,26,12,11,11
Genesis,26,13,9,9
Genesis,26,14,11,11
Genesis,26,15,13,13
Genesis,26,16,10,10
Genesis,26,17,8,8
Genesis,26,18,24,24
Genesis,26,19,9,9
Genesis,26,20,16,16
Genesis,26,21,9,9
Genesis,26,22,19,19
Genesis,26,23,4,4
Genesis,26,24,22,22
Genesis,26,25,14,14
Genesis,26,26,9,9
Genesis,26,27,11,11
Genesis,26,28,17,17
Genesis,26,29,18,18
Genesis,26,30,5,5
Genesis,26,31,10,10
Genesis,26,32,17,17
Genesis,26,33,12,12
Genesis,26,34,17,16
Genesis,26,35,5,5
Genesis,27,1,18,18
Genesis,27,2,8,8
Genesis,27,3,11,11
Genesis,27,4,13,13
Genesis,27,5,13,13
Genesis,27,6,15,14
Genesis,27,7,12,11
Genesis,27,8,8,8
Genesis,27,9,17,17
Genesis,27,10,8,8
Genesis,27,11,13,13
Genesis,27,12,11,11
Genesis,27,13,12,12
Genesis,27,14,10,10
Genesis,27,15,16,16
Genesis,27,16,10,10
Genesis,27,17,10,10
Genesis,27,18,10,9
Genesis,27,19,19,19
Genesis,27,20,15,15
Genesis,27,21,14,14
Genesis,27,22,13,13
Genesis,27,23,10,10
Genesis,27,24,7,7
Genesis,27,25,16,16
Genesis,27,26,9,9
Genesis,27,27,17,17
Genesis,27,28,10,10
Genesis,27,29,16,16
Genesis,27,30,20,19
Genesis,27,31,16,16
Genesis,27,32,11,11
Genesis,27,33,22,22
Genesis,27,34,17,17
Genesis,27,35,6,6
Genesis,27,36,20,20
Genesis,27,37,22,22
Genesis,27,38,17,17
Genesis,27,39,13,13
Genesis,27,40,13,13
Genesis,27,41,20,20
Genesis,27,42,20,19
Genesis,27,43,11,11
Genesis,27,44,9,9
Genesis,27,45,19,19
Genesis,27,46,21,21
Genesis,28,1,14,14
Genesis,28,2,16,16
Genesis,28,3,9,9
Genesis,28,4,16,15
Genesis,28,5,17,17
Genesis,28,6,25,25
Genesis,28,7,9,9
Genesis,28,8,9,9
Genesis,28,9,17,17
Genesis,28,10,6,6
Genesis,28,11,15,15
Genesis,28,12,14,14
Genesis,28,13,20,20
Genesis,28,14,15,15
Genesis,28,15,22,21
Genesis,28,16,12,12
Genesis,28,17,15,15
Genesis,28,18,16,16
Genesis,28,19,11,11
Genesis,28,20,20,20
Genesis,28,21,9,9
Genesis,28,22,15,15
Genesis,29,1,7,7
Genesis,29,2,22,22
Genesis,29,3,20,18
Genesis,29,4,9,9
Genesis,29,5,9,9
Genesis,29,6,12,12
Genesis,29,7,13,13
Genesis,29,8,16,16
Genesis,29,9,12,12
Genesis,29,10,29,24
Genesis,29,11,7,7
Genesis,29,12,14,14
Genesis,29,13,23,23
Genesis,29,14,11,11
Genesis,29,15,12,12
Genesis,29,16,9,9
Genesis,29,17,9,9
Genesis,29,18,11,11
Genesis,29,19,12,12
Genesis,29,20,11,11
Genesis,29,21,12,12
Genesis,29,22,8,8
Genesis,29,23,11,11
Genesis,29,24,9,9
Genesis,29,25,18,18
Genesis,29,26,10,10
Genesis,29,27,16,16
Genesis,29,28,13,13
Genesis,29,29,9,9
Genesis,29,30,15,15
Genesis,29,31,10,10
Genesis,29,32,17,17
Genesis,29,33,19,18
Genesis,29,34,20,20
Genesis,29,35,16,16
Genesis,30,1,19,19
Genesis,30,2,13,13
Genesis,30,3,13,13
Genesis,30,4,9,9
Genesis,30,5,5,5
Genesis,30,6,15,15
Genesis,30,7,9,9
Genesis,30,8,12,12
Genesis,30,9,13,13
Genesis,30,10,6,6
Genesis,30,11,8,8
Genesis,30,12,7,7
Genesis,30,13,10,10
Genesis,30,14,22,21
Genesis,30,15,20,18
Genesis,30,16,20,20
Genesis,30,17,9,9
Genesis,30,18,12,12
Genesis,30,19,7,7
Genesis,30,20,19,19
Genesis,30,21,7,7
Genesis,30,22,10,9
Genesis,30,23,8,8
Genesis,30,24,10,10
Genesis,30,25,15,14
Genesis,30,26,17,16
Genesis,30,27,12,12
Genesis,30,28,5,5
Genesis,30,29,12,12
Genesis,30,30,18,18
Genesis,30,31,19,19
Genesis,30,32,19,19
Genesis,30,33,21,21
Genesis,30,34,6,6
Genesis,30,35,22,22
Genesis,30,36,13,13
Genesis,30,37,17,17
Genesis,30,38,17,17
Genesis,30,39,9,9
Genesis,30,40,21,21
Genesis,30,41,14,14
Genesis,30,42,9,9
Genesis,30,43,12,12
Genesis,31,1,19,18
Genesis,31,2,10,10
Genesis,31,3,11,11
Genesis,31,4,8,8
Genesis,31,5,16,16
Genesis,31,6,8,8
Genesis,31,7,13,13
Genesis,31,8,20,13
Genesis,31,9,7,7
Genesis,31,10,16,15
Genesis,31,11,8,8
Genesis,31,12,21,20
Genesis,31,13,22,21
Genesis,31,14,11,11
Genesis,31,15,11,11
Genesis,31,16,17,16
Genesis,31,17,9,9
Genesis,31,18,21,20
Genesis,31,19,11,10
Genesis,31,20,13,13
Genesis,31,21,14,13
Genesis,31,22,7,7
Genesis,31,23,13,13
Genesis,31,24,18,18
Genesis,31,25,15,14
Genesis,31,26,13,12
Genesis,31,27,13,13
Genesis,31,28,8,8
Genesis,31,29,20,20
Genesis,31,30,12,12
Genesis,31,31,13,12
Genesis,31,32,21,21
Genesis,31,33,17,16
Genesis,31,34,16,15
Genesis,31,35,21,21
Genesis,31,36,15,15
Genesis,31,37,18,18
Genesis,31,38,13,13
Genesis,31,39,12,12
Genesis,31,40,9,9
Genesis,31,41,19,19
Genesis,31,42,22,22
Genesis,31,43,26,26
Genesis,31,44,10,10
Genesis,31,45,5,5
Genesis,31,46,13,13
Genesis,31,47,9,9
Genesis,31,48,13,13
